Designator,Mid X,Mid Y,Rotation,Layer
C1,129.47,-79.71,90.0,bottom
C10,119.97,-84.61,0.0,bottom
C11,118.745,-91.41,180.0,bottom
C12,126.9515,-79.635,90.0,bottom
C13,129.87,-93.985,270.0,bottom
C14,133.3825,-87.61,180.0,bottom
C15,121.17,-97.46,180.0,bottom
C16,118.62,-94.71,270.0,bottom
C17,134.52,-96.61,0.0,bottom
C18,128.32,-97.11,90.0,bottom
C19,123.7015,-105.085,90.0,bottom
C2,119.97,-83.11,0.0,bottom
C20,178.22,-100.81,0.0,bottom
C21,154.895,-100.96,0.0,bottom
C3,121.97,-80.835,90.0,bottom
C4,125.47,-79.66,90.0,bottom
C5,134.17,-90.9975,270.0,bottom
C6,124.72,-93.66,270.0,bottom
C7,119.97,-86.41,0.0,bottom
C8,121.7525,-90.871,0.0,bottom
C9,132.67,-90.9925,270.0,bottom
FB1,135.67,-90.9975,90.0,bottom
FB2,119.864,-89.41,0.0,bottom
FB3,119.85775,-87.935,180.0,bottom
IC3,126.72,-86.36,0.0,bottom
R1,147.9265,-103.9475,90.0,bottom
R10,168.1765,-103.781874,270.0,bottom
R11,176.04525,-103.781874,90.0,bottom
R12,177.53275,-103.781874,270.0,bottom
R13,154.87,-97.61,0.0,bottom
R14,154.87,-99.11,180.0,bottom
R16,111.8715,-103.61,0.0,bottom
R17,111.8515,-100.11,0.0,bottom
R18,111.8515,-96.61,0.0,bottom
R19,111.8715,-93.11,0.0,bottom
R2,151.264,-103.9475,90.0,bottom
R20,111.8715,-89.61,0.0,bottom
R21,121.745,-92.486,180.0,bottom
R22,133.37,-94.36,90.0,bottom
R23,131.36,-94.36,90.0,bottom
R24,126.22,-93.66,90.0,bottom
R25,128.32,-94.135,90.0,bottom
R26,124.07,-96.11,270.0,bottom
R3,171.1515,-103.781874,90.0,bottom
R4,174.55775,-103.781874,90.0,bottom
R5,146.439,-103.9475,90.0,bottom
R6,144.9515,-103.9475,270.0,bottom
R7,152.7515,-103.9475,90.0,bottom
R8,154.239,-103.9475,270.0,bottom
R9,169.664,-103.781874,90.0,bottom
U1,149.6765,-99.24,90.0,bottom
U2,173.04525,-99.074374,90.0,bottom
Y2,121.495,-94.96,180.0,bottom
